id,song
lDr5L6jEXfU,No Quater
s0Py0Q0p_RY,No Quater
FN-Bb6Xcm1o,No Quater
gdmVvaLu5WE,Since I've Been Loving You
RQj19JF-tIU,Since I've Been Loving You
klqKYcO9xEo,Communication Breakdown
94kBurVj61U,Gallows Pole
rz12xmA9IZs,Gallows Pole
AAwZf7s8m30,The Wanton Song
TJPfjEI-yxU,The Wanton Song
WWClwhMthoE,Achilles Last Stand
JRZ2bHeFTqE,Achilles Last Stand
lO658oIhpDQ,Achilles Last Stand
V04M8REh2Sw,Celebration Day
3m4C_MWO3RU,Celebration Day
zNbheLU69hs,Celebration Day
KEph_7X7ww0,Celebration Day
KEph_7X7ww0,Celebration Day
cJfsS-bpIrw,Babe I'am Gonna leave you
dR2fkq6pG54,Babe I'am Gonna leave you
Ow-M3AAjHMo,Babe I'am Gonna leave you
nxnisPVfDJQ,Sick Again
JY5bIV_yfuA,Sick Again
eNhKRipwPrc,Going to California
mLTFwU1pP0Y,Misty Mountain Hop
5Oa2ZYMkUc0,Misty Mountain Hop
rTzcz4qDNZM,Misty Mountain Hop
i_u85yqMjLA,Misty Mountain Hop
OJVcqJA_62Q,Misty Mountain Hop
WPC3PDzN2B0,Over the Hills and far away
Cnd-kQoARNM,Over the Hills and far away
MJH1oh_c4DQ,Over the Hills and far away
7tJTHN4IvM8,Over the Hills and far away
-JvESMqWX0s,Over the Hills and far away
ancv--IxLH8,Over the Hills and far away
SHB2tdCw13Y,Ten Years Gone
fbDw5ST9bKc,Ten Years Gone
lEA3kxFV7oE,Ten Years Gone
Q3GC6diJXZA,Ramble on
6sCZctzGq2Y,Ramble on
uiXSFNciM08,Ramble on
4vj5g8KaQR8,Ramble on
enIRKXjBehI,The Rain Song
V9sm-u4Ae08,The Rain Song
wN_2Ing8rC8,The Rain Song
BeDylD8dV7U,The Rain Song
7rPbfSSWW6Y,The Rain Song
dCs-1DzbgCw,The Rain Song
3aqzlZV8Id4,Rock and Roll
Ysg7qDxmbyE,Rock and Roll
7mMWQ5iofk8,Rock and Roll
_Cio9VH3Nzc,The Rover
zKr53YxxH60,The Rover
hjSZKHpnY6c,The Rover
ZjKDKxntinU,The Rover
07q_eyqT11Q,The Rover
UFCjFCh9X5o,The Rover
4BQw9hYKnv8,The Rover
osnNhcj92ao,Stairway to Heaven
BjjO9ZbyOtU,Stairway to Heaven
bD80SXJB5sw,Stairway to Heaven
Nlh_M6aLK6g,Stairway to Heaven
FM4JtbphU8o,The Lemon Song
CuKIplaoHtQ,The Lemon Song
DIonS9790PY,The Ocean
K_ROpDMB5c4,Black Dog
PikvWrtfMxU,Black Dog
O3Bs7Cx98qU,Black Dog
gkpM0sJSATk,Heart Breaker
R-0UWD3Vlcg,Whole Lotta Love
dtVU4-WCahM,Whole Lotta Love
N59R2wZPJRw,Whole Lotta Love
2BW2yIRJiGo,Whole Lotta Love
db-CMl9YA2w,When the levee breaks
NhLpkzgfscU,Dancing Days
tKsHW5yYrHM,Moby Dick
38Z0N7EgoXE,Thank You
r2lSJGIrr8w,Goofd Times Bad TImes
